date,open_price,high_price,low_price,close_price,volume,symbol,daily_return,MA_7
2026-01-23,247.32,249.41,244.68,248.04,41688982,AAPL,-0.0012482383732635993,252.06285714285715
2026-01-26,251.48,256.56,249.8,255.41,55969234,AAPL,0.029712949524270282,251.41285714285712
2026-01-27,259.17,261.95,258.21,258.27,48787855,AAPL,0.011197682158098576,251.42142857142855
2026-01-28,257.65,258.855,254.51,256.44,41287971,AAPL,-0.0070856080845626,251.55142857142854
2026-01-29,258.0,259.65,254.41,258.28,67253009,AAPL,0.007175167680548933,253.2057142857143
2026-01-30,255.165,261.8999,252.18,259.48,92443408,AAPL,0.004646120489391503,254.8957142857143
2026-02-02,260.03,270.49,259.205,270.01,73913425,AAPL,0.040581162324649256,257.99
2026-02-03,269.2,271.875,267.61,269.48,63799388,AAPL,-0.0019628902633235246,261.05285714285714
2026-02-04,272.285,278.95,272.285,276.49,90545710,AAPL,0.026013062193854797,264.06428571428575
2026-02-05,278.13,279.5,273.23,275.91,52977441,AAPL,-0.0020977250533472658,266.5842857142857
2026-02-06,277.12,280.905,276.925,278.12,50453414,AAPL,0.00800985828712264,269.68142857142857
2026-02-09,277.905,278.2,271.7,274.62,44623396,AAPL,-0.01258449590104993,272.0157142857143
2026-02-10,274.885,275.37,272.94,273.68,34376898,AAPL,-0.0034229116597480624,274.0442857142857
2026-02-11,274.695,280.18,274.45,275.5,51931283,AAPL,0.006650102309266215,274.8285714285714
2026-02-12,275.59,275.72,260.18,261.73,81077229,AAPL,-0.04998185117967324,273.7214285714286
2026-02-13,262.01,262.23,255.45,255.78,56290673,AAPL,-0.022733351163412796,270.7628571428571
2026-02-17,258.05,266.29,255.54,263.88,58469094,AAPL,0.03166783954961283,269.0442857142857
2026-02-18,263.6,266.82,262.45,264.35,34203337,AAPL,0.0017811126269517974,267.07714285714286
2026-02-19,262.6,264.48,260.05,260.58,30845294,AAPL,-0.01426139587667874,265.0714285714286
2026-02-20,258.97,264.75,258.16,264.58,42070499,AAPL,0.015350372246526911,263.7714285714286
2026-02-23,263.49,269.43,263.381,266.18,37308155,AAPL,0.0060473202812005855,262.44
2026-02-24,267.86,274.89,267.71,272.14,47014619,AAPL,0.022390863325569166,263.9271428571429
2026-02-25,271.78,274.94,271.05,274.23,33714342,AAPL,0.007679870654810239,266.5628571428571
2026-02-26,274.945,276.11,270.795,272.95,32345114,AAPL,-0.00466761477591815,267.85857142857145
2026-02-27,272.81,272.81,262.89,264.18,72366505,AAPL,-0.03213042681809852,267.8342857142857
2026-03-02,262.41,266.53,260.2,264.72,41827946,AAPL,0.002044060867590458,268.42571428571426
2026-03-03,263.48,265.56,260.13,263.75,38568921,AAPL,-0.0036642490178302456,268.3071428571429
2026-03-04,264.65,266.15,261.42,262.52,39803119,AAPL,-0.004663507109004761,267.7842857142857
2026-03-05,260.79,261.555,257.25,260.29,49658626,AAPL,-0.00849459088831317,266.0914285714286
2025-10-10,226.21,228.25,216.0,216.37,72367511,AMZN,,
2025-10-13,217.7,220.68,217.04,220.07,37809650,AMZN,0.017100337385034914,
2025-10-14,215.555,219.32,212.6,216.39,45665580,AMZN,-0.01672195210614813,
2025-10-15,216.62,217.71,212.66,215.57,45909469,AMZN,-0.0037894542261657227,
2025-10-16,215.67,218.59,212.8101,214.47,42414591,AMZN,-0.00510275084659273,
2025-10-17,214.56,214.8,211.03,213.04,45986944,AMZN,-0.0066675991980230664,
2025-10-20,213.88,216.69,213.59,216.48,38882819,AMZN,0.016147202403304473,216.05571428571426
2025-10-21,218.43,223.32,217.99,222.03,50494565,AMZN,0.025637472283813745,216.86428571428573
2025-10-22,219.3,220.005,216.52,217.95,44308538,AMZN,-0.018375895149304156,216.56142857142854
2025-10-23,219.0,221.3,218.18,221.09,31539999,AMZN,0.014406974076623058,217.23285714285717
2025-10-24,221.97,225.4,221.9,224.21,38685053,AMZN,0.014111900131168253,218.46714285714285
2025-10-27,227.66,228.4,225.54,226.97,38266995,AMZN,0.012309888051380335,220.25285714285715
2025-10-28,228.215,231.485,226.21,229.25,47100026,AMZN,0.01004538044675507,222.56857142857143
2025-10-29,231.672,232.82,227.76,230.3,52036151,AMZN,0.004580152671755711,224.54285714285717
2025-10-30,227.06,228.44,222.75,222.86,102252937,AMZN,-0.03230568823273994,224.66142857142856
2025-10-31,250.1,250.5,243.98,244.22,166340808,AMZN,0.09584492506506326,228.41428571428574
2025-11-03,255.36,258.6,252.9,254.0,95997816,AMZN,0.040045860289902535,233.1157142857143
2025-11-04,250.38,257.01,248.66,249.32,51546311,AMZN,-0.018425196850393677,236.7028571428571
2025-11-05,249.03,251.0,246.16,250.2,39234469,AMZN,0.003529600513396458,240.02142857142857
2025-11-06,249.155,250.38,242.17,243.04,46004203,AMZN,-0.02861710631494807,241.99142857142857
2025-11-07,242.9,244.9,238.49,244.41,46374294,AMZN,0.005636932192231825,244.00714285714284
2025-11-10,248.34,251.75,245.59,248.4,36476514,AMZN,0.016325027617527965,247.65571428571428
2025-11-11,248.41,249.7499,247.23,249.1,23564060,AMZN,0.0028180354267310914,248.35285714285715
2025-11-12,250.235,250.37,243.75,244.2,31190063,AMZN,-0.01967081493376155,246.95285714285714
2025-11-13,243.05,243.75,236.5,237.58,41401738,AMZN,-0.027108927108926983,245.2757142857143
2025-11-14,235.06,238.73,232.89,234.69,38956669,AMZN,-0.012164323596262405,243.06
2025-11-17,233.25,234.6,229.19,232.87,59919018,AMZN,-0.007754910733307696,241.60714285714286
2025-11-18,228.1,230.2,222.42,222.55,60608442,AMZN,-0.04431657147764845,238.4842857142857
2025-11-19,223.735,223.735,218.52,222.69,58335643,AMZN,0.0006290721186250625,234.8114285714286
2025-11-20,227.05,227.41,216.74,217.14,50308962,AMZN,-0.0249225380573892,230.24571428571429
2025-11-21,216.345,222.21,215.18,220.69,68490464,AMZN,0.016348899327622846,226.88714285714283
2025-11-24,222.555,227.33,222.27,226.28,54318395,AMZN,0.025329647922425202,225.27285714285713
2025-11-25,226.38,230.52,223.8,229.67,39379339,AMZN,0.01498143892522541,224.55571428571426
2025-11-26,230.74,231.7474,228.77,229.16,38497922,AMZN,-0.0022205773501109416,224.0257142857143
2025-11-28,231.24,233.285,230.22,233.22,20292329,AMZN,0.017716879036481004,225.55
2025-12-01,233.22,235.797,232.25,233.88,42903954,AMZN,0.0028299459737586297,227.14857142857142
2025-12-02,235.005,238.97,233.55,234.42,45785363,AMZN,0.002308876346844402,229.61714285714285
2025-12-03,233.35,233.38,230.61,232.38,35495058,AMZN,-0.008702329152802668,231.28714285714287
2025-12-04,232.77,233.5,226.8,229.11,45683224,AMZN,-0.014071778982700622,231.6914285714286
2025-12-05,230.32,231.24,228.547,229.53,33117377,AMZN,0.0018331805682858526,231.67142857142858
2025-12-08,229.59,230.83,226.27,226.89,34681553,AMZN,-0.011501764475232101,231.34714285714284
2025-12-09,226.84,228.57,225.11,227.92,25712299,AMZN,0.004539644761778927,230.58999999999997
2025-12-10,228.805,232.42,228.46,231.78,38790736,AMZN,0.016935766935767038,230.29
2025-12-11,230.71,232.11,228.6901,230.28,28249599,AMZN,-0.006471654154801998,229.6985714285714
2025-12-12,229.87,230.08,225.12,226.19,35639118,AMZN,-0.01776098662497827,228.81428571428572
2025-12-15,227.93,227.93,221.5,222.54,47286085,AMZN,-0.01613687607763392,227.87571428571428
2025-12-16,223.035,223.66,221.1304,222.56,39298857,AMZN,8.987148377825882e-05,226.87999999999997
2025-12-17,224.655,225.19,220.99,221.27,44034418,AMZN,-0.005796189791516859,226.07714285714286
2025-12-18,225.705,229.225,224.41,226.76,50272419,AMZN,0.024811316491164526,225.9114285714286
2025-12-19,226.76,229.125,225.58,227.35,85544374,AMZN,0.0026018698183101208,225.27857142857144
2025-12-22,228.61,229.48,226.71,228.43,32261329,AMZN,0.004750384869144586,225.01428571428573
2025-12-23,229.055,232.445,228.73,232.14,29230233,AMZN,0.016241299303944245,225.8642857142857
2025-12-24,232.13,232.95,231.33,232.38,11420543,AMZN,0.0010338588782632385,227.27
2025-12-26,232.035,232.99,231.18,232.52,15994726,AMZN,0.0006024614854980292,228.69285714285715
2025-12-29,231.94,232.6,230.77,232.07,19797909,AMZN,-0.001935317392052327,230.23571428571427
2025-12-30,231.205,232.77,230.2,232.53,21910453,AMZN,0.001982160555004997,231.05999999999997
2025-12-31,232.905,232.99,230.12,230.82,24383749,AMZN,-0.007353889820668313,231.55571428571426
2026-01-02,231.34,235.458,224.7,226.5,51456229,AMZN,-0.018715882505848658,231.27999999999997
2026-01-05,228.84,234.0,227.18,233.06,49733348,AMZN,0.028962472406180995,231.4114285714286
2026-01-06,232.1,243.18,232.07,240.93,53764677,AMZN,0.03376812837895815,232.63285714285712
2026-01-07,239.61,245.29,239.52,241.56,42236531,AMZN,0.0026148673888681806,233.92428571428573
2026-01-08,243.06,246.41,241.88,246.29,39509844,AMZN,0.01958105646630237,235.9557142857143
2026-01-09,244.568,247.86,242.24,247.38,34559961,AMZN,0.00442567704738317,238.07714285714286
2026-01-12,246.73,248.94,245.96,246.47,35867770,AMZN,-0.0036785512167515355,240.31285714285715
2026-01-13,246.53,247.66,240.25,242.6,38371778,AMZN,-0.015701708118635138,242.61285714285714
2026-01-14,241.15,241.28,236.22,236.65,41410578,AMZN,-0.024525968672712284,243.12571428571428
2026-01-15,239.31,240.65,236.63,238.18,43003571,AMZN,0.006465244031269801,242.73285714285717
2026-01-16,239.085,239.57,236.41,239.12,45888283,AMZN,0.003946595012175758,242.38428571428568
2026-01-20,233.76,235.09,229.34,231.0,46959464,AMZN,-0.03395784543325531,240.2
2026-01-21,231.085,232.3,226.88,231.31,47276090,AMZN,0.001341991341991422,237.90428571428575
2026-01-22,234.05,235.72,230.9,234.34,31913325,AMZN,0.013099303964376752,236.17142857142858
2026-01-23,234.955,240.45,234.57,239.16,33778478,AMZN,0.020568404881795566,235.68
2026-01-26,239.98,240.95,237.54,238.42,32825530,AMZN,-0.003094162903495623,235.93285714285713
2026-01-27,239.685,244.88,238.08,244.68,37815946,AMZN,0.02625618656153006,236.86142857142858
2026-01-28,246.365,247.775,241.53,243.01,40882657,AMZN,-0.006825241131273585,237.41714285714286
2026-01-29,242.82,243.0,236.742,241.73,47229643,AMZN,-0.005267272951730351,238.95000000000002
2026-01-30,239.89,243.315,237.64,239.3,46585024,AMZN,-0.010052537955570151,240.09142857142857
2026-02-02,238.31,245.6299,238.17,242.96,37546102,AMZN,0.015294609277058058,241.32285714285715
2026-02-03,244.975,246.35,235.45,238.62,50478573,AMZN,-0.017863022719789234,241.24571428571426
2026-02-04,238.86,238.86,231.82,232.99,51299947,AMZN,-0.023593998826586193,240.47
2026-02-05,224.91,226.31,220.38,222.69,103509230,AMZN,-0.044207905918709045,237.32857142857142
2026-02-06,202.7,211.44,200.31,210.32,179210851,AMZN,-0.0555480713098927,232.65857142857143
2026-02-09,208.97,212.81,203.35,208.72,91178443,AMZN,-0.007607455306199995,227.94285714285712
2026-02-10,208.795,212.6499,206.411,206.96,67175031,AMZN,-0.008432349559218011,223.32285714285715
2026-02-11,208.06,208.57,202.49,204.08,65545455,AMZN,-0.013915732508697265,217.76857142857145
2026-02-12,203.96,203.96,197.56,199.6,83975393,AMZN,-0.021952175617405034,212.19428571428574
2026-02-13,198.88,201.16,197.275,198.79,66321593,AMZN,-0.004058116232464992,207.3085714285714
2026-02-17,198.125,201.7362,196.0,201.15,69879200,AMZN,0.011871824538457698,204.23142857142858
2026-02-18,202.07,206.86,201.51,204.79,51003299,AMZN,0.018095948297290443,203.4414285714286
2026-02-19,203.8,205.6396,202.81,204.86,35669611,AMZN,0.0003418135651156451,202.89000000000001
2026-02-20,204.76,211.17,203.75,210.11,65881611,AMZN,0.025627257639363465,203.34
2026-02-23,208.095,208.43,203.11,205.27,53581508,AMZN,-0.023035552805673265,203.51
2026-02-24,205.47,210.36,203.25,208.56,41137162,AMZN,0.016027670872509336,204.79
2026-02-25,210.46,211.59,208.93,210.64,41346376,AMZN,0.009973149213655441,206.48285714285717
